;NAME;EXECUTION_CPU_1;EXECUTION_DRAM_1;implementation;number;EXECUTION_DURATION
540;stacklesspython2_binarytrees_30;470.05267333984375;51.08149719238281;stacklesspython2;30;4.406078100204468
541;stacklesspython3_binarytrees_30;542.2947998046875;62.09538269042969;stacklesspython3;30;4.979526042938232
542;intelpython2_binarytrees_30;513.3763732910156;57.148536682128906;intelpython2;30;4.85886812210083
543;intelpython3_binarytrees_30;519.1797485351562;56.89544677734375;intelpython3;30;4.975913047790527
544;activepython_binarytrees_30;494.9111633300781;54.341827392578125;activepython;30;4.644624948501587
545;cython2_binarytrees_30;432.9423828125;47.228973388671875;cython2;30;3.9831461906433105
546;cython_binarytrees_30;481.0764465332031;52.81785583496094;cython;30;4.520507097244263
547;graalpython_binarytrees_30;68.62393188476562;7.986724853515625;graalpython;30;0.7249999046325684
548;ipy_binarytrees_30;10.896942138671875;1.1700057983398438;ipy;30;0.21891999244689941
549;jython_binarytrees_30;12.76043701171875;1.4045867919921875;jython;30;0.21800017356872559
550;micropython_binarytrees_30;30.433746337890625;3.4986572265625;micropython;30;0.39418983459472656
551;nuitka_binarytrees_30;539.36376953125;59.99304962158203;nuitka;30;5.045673131942749
552;numba2_binarytrees_30;682.0115966796875;73.04605865478516;numba2;30;6.150976896286011
553;numba3_binarytrees_30;582.5619506835938;62.46807098388672;numba3;30;5.302098989486694
554;pypy2_binarytrees_30;507.8365478515625;60.614288330078125;pypy2;30;5.405855178833008
555;pypy3_binarytrees_30;487.1532897949219;54.141456604003906;pypy3;30;4.599745035171509
556;cpython2_binarytrees_30;503.02093505859375;55.78003692626953;cpython2;30;4.666459083557129
557;cpython3_binarytrees_30;472.9098205566406;51.48583984375;cpython3;30;4.370373010635376
558;stacklesspython2_binarytrees_31;462.14178466796875;50.41078186035156;stacklesspython2;31;4.233991861343384
559;stacklesspython3_binarytrees_31;521.892822265625;56.70905303955078;stacklesspython3;31;4.923678159713745
560;intelpython2_binarytrees_31;449.54864501953125;49.447418212890625;intelpython2;31;4.254157066345215
561;intelpython3_binarytrees_31;505.972900390625;55.786033630371094;intelpython3;31;4.806707143783569
562;activepython_binarytrees_31;531.5914611816406;58.88114929199219;activepython;31;4.9768030643463135
563;cython2_binarytrees_31;486.7637939453125;53.59922790527344;cython2;31;4.557065963745117
564;cython_binarytrees_31;480.0657043457031;52.632469177246094;cython;31;4.487991809844971
565;graalpython_binarytrees_31;69.39630126953125;8.534370422363281;graalpython;31;0.7219998836517334
566;ipy_binarytrees_31;10.978363037109375;1.1662673950195312;ipy;31;0.22101998329162598
567;jython_binarytrees_31;24.877105712890625;2.6691436767578125;jython;31;0.22900009155273438
568;micropython_binarytrees_31;31.80914306640625;3.4824371337890625;micropython;31;0.39519500732421875
569;nuitka_binarytrees_31;492.8006286621094;53.77696990966797;nuitka;31;4.64375901222229
570;numba2_binarytrees_31;700.3947143554688;74.43479919433594;numba2;31;6.208593845367432
571;numba3_binarytrees_31;570.2610473632812;62.02391815185547;numba3;31;5.385595083236694
572;pypy2_binarytrees_31;516.551513671875;61.765159606933594;pypy2;31;5.597322225570679
573;pypy3_binarytrees_31;450.1799621582031;51.105934143066406;pypy3;31;4.232367992401123
574;cpython2_binarytrees_31;476.855224609375;52.14104461669922;cpython2;31;4.467602968215942
575;cpython3_binarytrees_31;489.8736877441406;53.729148864746094;cpython3;31;4.64291787147522
576;stacklesspython2_binarytrees_32;407.7005920410156;44.66761779785156;stacklesspython2;32;3.8314599990844727
577;stacklesspython3_binarytrees_32;540.8212890625;60.39369201660156;stacklesspython3;32;5.055696964263916
578;intelpython2_binarytrees_32;479.0019226074219;51.7923583984375;intelpython2;32;4.546581983566284
579;intelpython3_binarytrees_32;541.9301452636719;59.510902404785156;intelpython3;32;5.078325986862183
580;activepython_binarytrees_32;527.2759399414062;57.82544708251953;activepython;32;5.022098064422607
581;cython2_binarytrees_32;463.5494689941406;51.609642028808594;cython2;32;4.306975841522217
582;cython_binarytrees_32;522.8777160644531;56.91840362548828;cython;32;4.934460878372192
583;graalpython_binarytrees_32;68.66168212890625;8.392463684082031;graalpython;32;0.7560000419616699
584;ipy_binarytrees_32;10.985015869140625;1.1630172729492188;ipy;32;0.22265005111694336
585;jython_binarytrees_32;25.51019287109375;2.8471908569335938;jython;32;0.21700000762939453
586;micropython_binarytrees_32;32.300811767578125;3.4872665405273438;micropython;32;0.4083249568939209
587;nuitka_binarytrees_32;528.6218872070312;58.20623016357422;nuitka;32;4.996902942657471
588;numba2_binarytrees_32;801.5816345214844;87.35701751708984;numba2;32;7.195374965667725
589;numba3_binarytrees_32;643.1915283203125;69.49342346191406;numba3;32;5.8448169231414795
590;pypy2_binarytrees_32;459.5096435546875;55.166534423828125;pypy2;32;4.9302380084991455
591;pypy3_binarytrees_32;450.70758056640625;50.71534729003906;pypy3;32;4.18364691734314
592;cpython2_binarytrees_32;460.2977600097656;50.57117462158203;cpython2;32;4.294206142425537
593;cpython3_binarytrees_32;457.2037658691406;50.211830139160156;cpython3;32;4.356647968292236
594;stacklesspython2_binarytrees_33;405.5779113769531;44.5191650390625;stacklesspython2;33;3.837451934814453
595;stacklesspython3_binarytrees_33;545.1367797851562;59.86304473876953;stacklesspython3;33;5.074090003967285
596;intelpython2_binarytrees_33;476.15118408203125;53.44453430175781;intelpython2;33;4.499799013137817
597;intelpython3_binarytrees_33;531.69287109375;58.422325134277344;intelpython3;33;5.006217956542969
598;activepython_binarytrees_33;492.2873840332031;53.19389343261719;activepython;33;4.649878978729248
599;cython2_binarytrees_33;426.9823303222656;47.18296813964844;cython2;33;4.004786968231201
600;cython_binarytrees_33;476.3134460449219;52.14386749267578;cython;33;4.509790897369385
601;graalpython_binarytrees_33;36.355072021484375;4.59075927734375;graalpython;33;0.42799997329711914
602;ipy_binarytrees_33;11.0029296875;1.1665496826171875;ipy;33;0.21775007247924805
603;jython_binarytrees_33;26.727081298828125;3.1539077758789062;jython;33;0.2330000400543213
604;micropython_binarytrees_33;41.60382080078125;4.67510986328125;micropython;33;0.4022500514984131
605;nuitka_binarytrees_33;503.5252380371094;55.32499694824219;nuitka;33;4.673415899276733
606;numba2_binarytrees_33;750.4508666992188;81.30363464355469;numba2;33;6.776950836181641
607;numba3_binarytrees_33;580.9936218261719;62.34681701660156;numba3;33;5.362391948699951
608;pypy2_binarytrees_33;470.93084716796875;56.280845642089844;pypy2;33;5.032681941986084
609;pypy3_binarytrees_33;473.886962890625;52.930908203125;pypy3;33;4.424429893493652
610;cpython2_binarytrees_33;484.04229736328125;52.738555908203125;cpython2;33;4.561954975128174
611;cpython3_binarytrees_33;469.9970703125;51.76930236816406;cpython3;33;4.421689987182617
612;stacklesspython2_binarytrees_34;430.61773681640625;46.655555725097656;stacklesspython2;34;4.020900011062622
613;stacklesspython3_binarytrees_34;528.8272705078125;58.32073211669922;stacklesspython3;34;4.938349962234497
614;intelpython2_binarytrees_34;455.65509033203125;49.786537170410156;intelpython2;34;4.238177061080933
615;intelpython3_binarytrees_34;475.16424560546875;51.977691650390625;intelpython3;34;4.499651908874512
616;activepython_binarytrees_34;474.2987365722656;51.853858947753906;activepython;34;4.537091970443726
617;cython2_binarytrees_34;395.9254150390625;43.442230224609375;cython2;34;3.6718509197235107
618;cython_binarytrees_34;523.51611328125;57.325050354003906;cython;34;4.8514838218688965
619;graalpython_binarytrees_34;84.91360473632812;9.719322204589844;graalpython;34;0.8159999847412109
620;ipy_binarytrees_34;10.79010009765625;1.1725006103515625;ipy;34;0.21999001502990723
621;jython_binarytrees_34;12.79052734375;1.4453811645507812;jython;34;0.2200000286102295
622;micropython_binarytrees_34;32.52899169921875;3.4962387084960938;micropython;34;0.3993959426879883
623;nuitka_binarytrees_34;457.4705810546875;49.897064208984375;nuitka;34;4.360672950744629
624;numba2_binarytrees_34;743.5751647949219;78.31415557861328;numba2;34;6.436809778213501
625;numba3_binarytrees_34;571.30859375;61.925636291503906;numba3;34;5.309571981430054
626;pypy2_binarytrees_34;493.12359619140625;58.86497497558594;pypy2;34;5.308283090591431
627;pypy3_binarytrees_34;493.54498291015625;54.96568298339844;pypy3;34;4.433701992034912
628;cpython2_binarytrees_34;487.7788391113281;53.47929382324219;cpython2;34;4.53705096244812
629;cpython3_binarytrees_34;497.19873046875;53.83837890625;cpython3;34;4.613191843032837
630;stacklesspython2_binarytrees_35;459.6827087402344;50.17742156982422;stacklesspython2;35;4.362389087677002
631;stacklesspython3_binarytrees_35;527.0359191894531;58.29175567626953;stacklesspython3;35;5.005711078643799
632;intelpython2_binarytrees_35;512.5777587890625;55.83311462402344;intelpython2;35;4.7713398933410645
633;intelpython3_binarytrees_35;479.62744140625;51.9852294921875;intelpython3;35;4.500279903411865
634;activepython_binarytrees_35;527.7991943359375;57.89173889160156;activepython;35;5.012714862823486
635;cython2_binarytrees_35;459.9881286621094;50.9853515625;cython2;35;4.356310844421387
636;cython_binarytrees_35;510.2405090332031;56.347076416015625;cython;35;4.799588918685913
637;graalpython_binarytrees_35;68.98382568359375;8.360298156738281;graalpython;35;0.7109999656677246
638;ipy_binarytrees_35;22.370849609375;2.3310775756835938;ipy;35;0.25691986083984375
639;jython_binarytrees_35;13.197265625;1.5461807250976562;jython;35;0.22899985313415527
640;micropython_binarytrees_35;30.83880615234375;3.4911041259765625;micropython;35;0.3953580856323242
641;nuitka_binarytrees_35;498.6877136230469;56.60778045654297;nuitka;35;4.515477895736694
642;numba2_binarytrees_35;695.4077758789062;74.7583999633789;numba2;35;6.231323003768921
643;numba3_binarytrees_35;550.3208312988281;60.10712432861328;numba3;35;5.0472869873046875
644;pypy2_binarytrees_35;537.3832092285156;63.390098571777344;pypy2;35;5.818114995956421
645;pypy3_binarytrees_35;449.82391357421875;50.008888244628906;pypy3;35;4.178329944610596
646;cpython2_binarytrees_35;481.31427001953125;54.40736389160156;cpython2;35;4.5019190311431885
